nr_albumu,nazwisko,imie,wiek,grupa
860,Maura,José Augusto,21,2
861,Viola,Samuel,21,2
862,Carolina,Arturo,25,1
863,Rafaela,Israel,19,2
864,Lucy,Mario,19,2
865,Pía,Abelardo,21,4
866,Elena,Valentín,19,3
867,Lillian,Carlos Henrique,20,3
868,Gabriella,Reno,19,4
869,Samantha,Benjamin,19,2
870,Blanche,Charli,22,1
871,Isidora,Toni,21,2
872,Layla,Ian,24,4
873,Grace,Rafael,23,4
874,Rachel,Raphael,20,1
875,Jade,Jayden,21,3
876,Elisa,José,23,2
877,Ava,Emiliano,21,3
878,Aylin,Matías,23,3
879,Jacin,José Arthur,20,1
880,Alice,Ricardo,23,3
881,Viola,Napoleon,23,3
882,Eloísa,Eduardo,23,1
883,Mariana,Tonio,20,1
884,Inez,Estêvão,19,3
885,Almudena,André,21,2
886,Viridiana,Carlo,23,3
887,Francisca,Matthew,19,2
888,Victoria,Théo Henrique,22,2
889,Carolina,Jorge,24,3
890,Nazaret,William,25,4
891,Jacin,Eduardo,23,3
892,Martina,Dario,21,2
893,Lorena,Bastián,24,4
894,Anna,Rael,23,3
895,Jade,Tomás,19,3
896,Laura,Julián,21,2
897,Danae,Marcelo,22,4
898,Tatiana,Gustavo,24,2
899,Nadia,Rosendo,25,2
900,Isidora,James,24,4
901,Josefina,Pietro Henrique,22,4
902,Rose,Avery,22,1
903,Sophia,Raul,20,1
904,Harper,Luciano,20,1
905,Camila,Edward,20,2
906,Ámbar,Asher,20,4
907,Diana,Yan,22,3
908,Luna,Andrés,19,3
909,Rachel,Suero,19,2
910,Elizabeth,Patricio,21,2
911,Sofía,Álvaro,19,4
912,Rafaela,Diego,19,1
913,Antonella,Samuel,23,2
914,Valentina,William,22,4
915,Mirta,Gaspar,21,1
916,Ainhoa,Daniel,22,3
917,Liliana,Bruno,24,2
918,Leonor,Fernando,22,2
919,Garbiñe,José,20,1
920,Alyssa,Juan,25,4
921,Danae,Arthur,21,3
922,Luisa,Claudio,20,3
923,Matilda,Arthur,24,3
924,Pascale,Diogo,21,4
925,Christina,Ricardo,23,4
926,Soledad,Harrison,24,2
927,Scarlett,Diego,24,1
928,Anaís,Dylan,22,4
929,Elizabeth,Michael,24,3
930,Claudia,Jordan,22,3
931,Núria,Dario,22,3
932,Imelda,Niño,22,4
933,Violet,Valentim,20,2
934,Melina,Feliciano,24,2
935,Savannah,Gabriel,20,4
936,Elena,Diego,24,2
937,Maria,Salvador,22,1
938,Abigail,Julio,22,1
939,Violet,Juan,23,1
940,Ilona,Fausto,20,3
941,Sofía,Nathan,24,4
942,Diana,Nicolas Gabriel,23,2
943,Valentina,Enzo,20,3
944,Madison,Luciano,21,4
945,Grace,Landon,22,4
946,Sofía,Pepe,19,3
947,Ava,Isaac,21,1
948,Lucy,Lucas,19,4
949,Elvira,Brayden,22,3
950,Raquel,Filipe,20,1
951,Eva,Mauricio,22,2
952,Amy,Armando,25,3
953,Aria,Davi Lucca,24,1
954,Victoria,Asher,25,3
955,Marcela,Marcos,22,4
956,Alice,Zachary,25,3
957,Inez,Apolo,23,1
958,Ivette,Yuri,23,2
959,Aria,Nicolás,20,1
960,Stella,Nestor,20,2
961,Antonia,Brody,21,2
962,Brooklyn,Arthur Miguel,21,2
963,Mayra,Bruno,25,3
964,Aida,Eduardo,25,3
965,Maite,Abel,19,4
966,Luciana,Alfonso,21,2
967,Pierina,Santiago,20,2
968,Eleanor,Ricardo,21,3
969,Clara,Matteo,21,2
970,Fatima,Luiz Miguel,23,4
971,Aubrey,Geronimo,25,2
972,Catalina,José Lucas,24,4
973,Kaylee,Theodoro,25,3
974,Lidia,Vitor,22,4
975,Virginia,Australia,21,2
976,Alexa,Nicholas,22,4
977,Annabelle,Gregorio,22,2
978,Consuelo,Jordan,22,4
979,Beatriz,Oliver,23,4
980,Carina,Thomas,22,3
981,Bonita,Lucas,23,2
982,Justina,Reinaldo,20,3
983,Angela,Parker,22,2
984,Christina,Anthony Miguel,23,1
985,Julieta,Thomas,23,3
986,Elizabeth,Gaspar,22,2
987,Dominga,Lorenzo Henrique,21,4
988,Amelia,Esteban,19,4
989,María,Brody,19,2
990,Rosario,Henry,20,2
991,Maruja,Marcelo,19,2
992,Urraca,Luiz Miguel,23,1
993,Rosalie,Augusto,21,2
994,Amelia,Fulgencio,25,3
995,Magdalena,Tato,21,1
996,Noemí,Isaac,23,3
997,Georgia,Davi,22,1
998,Georgia,Levi,20,2
999,Mariana,Carlos Henrique,23,4
1000,Carla,Eduardo,22,1
1001,Isidora,Germany,21,2
1002,Hannah,Mariano,19,4
1003,Aylin,Vladimiro,24,2
1004,Savannah,Pedro,22,1
1005,Ashley,Adam,19,3
1006,Magdalena,Matthew,21,2
1007,Josefina,David,21,3
1008,Mila,Easton,19,2
1009,Stella,Bruno,20,4
1010,Anna,Carlos,23,1
1011,Emma,Conrado,20,1
1012,Dominga,Patricio,23,4
1013,Sophia,Luis,22,4
1014,Grace,Guido,22,3
1015,Madison,Zayn,21,3
1016,Lucy,Elias,23,1
1017,Elena,Quique,21,1
1018,Angela,Juan,20,2
1019,Grace,Felix,23,4
1020,Madelyn,Isaac,22,4
1021,Amalia,Julián,23,2
1022,Jade,Marcelo,21,4
1023,Mayte,Everett,23,2
1024,Natalie,John,21,1
1025,Magdalena,Rodrigo,25,1
1026,Mila,Manolito,20,1
1027,Luna,Pietro Henrique,23,3
1028,Violet,Silvestre,20,2
1029,Mayra,José Lucas,20,1
1030,Savannah,Angel,21,3
1031,Lillian,Franco,19,2
1032,Charlotte,José,21,1
1033,Mia,Cristhian,21,1
1034,Rachel,Matheus Henrique,21,3
1035,Rayén,Fabricio,19,1
1036,Aurora,Bruno,20,4
1037,Millaray,Lukas,23,2
1038,Amparo,Declan,21,2
1039,Quinn,Rafa,24,2
1040,Kaylee,Raul,25,2
1041,Amelia,Pedro,23,2
1042,Ashley,Ethan,22,3
1043,Zoey,Thomas,22,3
1044,Freya,Isaiah,24,4
1045,Ava,Rafael,22,2
1046,Mia,Adan,23,3
1047,Esperanza,Juan,23,2
1048,Violeta,Davi Henrique,23,2
1049,Sophia,Connor,25,1
1050,Penelope,Liam,20,4
1051,Valentina,Augusto,22,4
1052,Elizabeth,Connor,20,3
1053,Leah,Cauã,22,3
1054,Anna,Antonio,25,3
1055,Emilia,Fernando,23,3
1056,Avery,Heitor Gabriel,23,2
1057,Lauren,Manuel,20,2
1058,Eleanor,Sergio,21,3
1059,Amparo,Luis,23,2
1060,Lía,Marcelino,20,4
1061,Noelia,Daniel,19,2
1062,Colomba,Nahuel,19,4
1063,Callie,Australia,19,2
1064,Nova,Andrew,25,3
1065,Mia,Bernardo,21,1
1066,Clara,Lucas,20,1
1067,Freya,Brayden,19,4
1068,Eleanor,Gonzalo,22,3
1069,Millaray,Afonso,24,2
1070,Eleanor,Milo,21,2
1071,Luciana,Christian,23,3
1072,Chloe,Arabia,23,2
1073,Rafaela,Isaac,21,2
1074,Javiera,Australia,19,3
1075,Emilia,Isaac,24,2
1076,Sara,Everett,22,3
1077,Elizabeth,Nazario,23,3
1078,Callie,Cristian,24,1
1079,Daniela,João Arthur,22,3
1080,Carla,Yago,20,3
1081,Jade,Tomás,20,3
1082,Isabelle,Manuel,21,3
1083,Alice,João Antônio,24,2
1084,Aaliyah,Isaac,25,3
1085,Olivia,Nicolas,23,2
1086,Emma,Thomas,20,3
1087,Luciana,Heitor Gabriel,23,2
1088,Florencia,Nemesio,20,3
1089,Amalia,Esteban,23,2
1090,Catalina,Maikel,21,3
1091,María,Guilherme,21,2
1092,Colomba,Jhon,20,3
1093,Lily,Valentín,21,1
1094,Gabriella,Mason,24,3
1095,Abigail,Lucas,23,2
1096,Lucy,Juanfran,22,3
1097,Olivia,Yan,21,1
1098,Violeta,Pedro Arthur,24,3
1099,Danae,John,25,2
1100,Callie,Primitivo,20,1
1101,Dominga,Moisés,23,4
1102,Isabella,Davi Luiz,20,2
1103,Arianna,Pedro Lucca,22,4
1104,Chloe,Zayn,20,2
1105,Chloe,Valentim,20,4
1106,Emily,Heitor Miguel,21,1
1107,Piper,Richard,24,3
1108,Allison,Rodrigo,19,2
1109,Génesis,Alonso,23,2
1110,Aria,José Arthur,21,3
1111,Sofía,Carlos Eduardo,23,4
1112,Mila,Carlos,22,3
1113,Aaliyah,Ryan,23,3
1114,Elizabeth,João Guilherme,25,1
1115,Ayla,Jerónimo,22,2
1116,Amparo,Christopher,20,4
1117,Florencia,Avery,24,3
1118,Lyla,Genovevo,21,3
1119,Abigail,Oliver,19,1
1120,Leonor,David,22,3
1121,Matilda,Luis,22,3
1122,Angela,Eduardo,24,3
1123,Danae,Miguel,19,3
1124,Abigail,Emilio,23,4
1125,Clara,Wilfredo,24,3
1126,Esperanza,Emanuel,25,4
1127,Emma,Arabia,20,1
1128,Sara,Emanuel,19,4
1129,Lucía,Gavin,24,2
1130,Colomba,Lorenzo,25,4
1131,Alexa,Easton,22,2
1132,Dominga,Jorge,24,4
1133,Francisca,Luiz Fernando,21,1
1134,Lía,Marcos,23,2
1135,Sienna,Andrew,21,1
1136,Lily,Estêvão,23,2
1137,Ema,Thomas,23,4
1138,Elena,Otávio,24,3
1139,Mariana,Gaspar,25,3
1140,Laura,Lucero,25,4
1141,Zoey,Rodolfo,22,4
1142,Josefa,Salvador,21,2
1143,Aurora,Amílcar,19,1
1144,Aria,Amaro,23,2
1145,Addison,Elías,25,1
1146,Paz,João Antônio,23,2
1147,Ellie,Feliciano,21,1
1148,Renata,Suero,22,2
1149,Alice,Henry,24,2
1150,Laura,Dámaso,22,3
1151,Matilda,Anthony Miguel,19,2
1152,Chloe,Isaac,24,1
1153,Celeste,Enzo Miguel,23,3
1154,Ámbar,Pedro,20,1
1155,Aubrey,Luiz Henrique,19,2
1156,Emma,Rodrigo,25,1
1157,Noelia,Eduardo,21,1
1158,Maite,Fernando,22,1
1159,Leah,John,23,3
1160,Ava,Alfonso,20,3
1161,Sophia,Marcos,24,2
1162,Emilia,Pablo,23,2
1163,Emma,Pedro Lucca,20,2
1164,Sophia,Alexander,21,2
1165,Samantha,Samuel,20,3
1166,Sadie,Vitor Gabriel,19,3
1167,Dominique,Thales,23,1
1168,Matilda,Leon,20,1
1169,Luna,Nicholas,22,1
1170,Josefina,Lincoln,25,2
1171,Ella,Pepe,24,3
1172,Ivy,Diego,22,4
1173,Rosalie,Sebastián,21,1
1174,Georgia,Pedro,20,3
1175,Gabriella,Lotario,22,3
1176,Lucía,Liam,24,2
1177,Alison,Pietro Henrique,20,4
1178,Violet,Zachary,25,3
1179,Amalia,Manuel,19,3
1180,Callie,Arnaldo,22,3
1181,Taylor,Dom,19,3
1182,Valentina,Luiz Miguel,23,2
1183,Madelyn,Cristhian,24,2
1184,Ivy,Beto,22,2
1185,Annabelle,Hudson,23,4
1186,Fernanda,Tomás,25,2
1187,Nora,Grayson,25,2
1188,Sofía,Henry,24,3
1189,Emilia,Grayson,20,2
1190,Lucy,Landon,24,2
1191,Génesis,Nestor,22,1
1192,Emily,Davi Henrique,20,2
1193,Scarlett,João Arthur,21,2
1194,Riley,Facundo,22,3
1195,Gabriella,Isaac,20,1
1196,Evelyn,Facundo,25,1
1197,Maite,Tonin,24,4
1198,Matilde,Samuel,21,4
1199,Savannah,Avery,22,3
1200,Avery,Benjamin,20,4
1201,Isidora,Isaiah,23,2
1202,Colomba,Easton,21,3
1203,Nova,Otto,21,3
1204,Freya,Richard,22,3
1205,Abigail,Elías,23,3
1206,Ella,Heriberto,22,4
1207,Victoria,Jorge,23,1
1208,Victoria,Riley,20,3
1209,Emily,Benjamín,22,4
1210,Angela,Maverick,23,2
1211,Madelyn,Michael,20,2
1212,Avery,Manuel,22,2
1213,Alyssa,Henry,20,3
1214,Sadie,José,25,2
1215,Gabriela,José,24,4
1216,Audrey,José Felipe,20,2
1217,Grace,Julian,21,2
1218,Abigail,Jerónimo,25,3
1219,Arianna,Gonzalo,23,4
1220,Ashley,Caleb,25,2
1221,Avery,Dylan,20,1
1222,Elisa,Luiz Antônio,23,4
1223,Sofía,Isaiah,21,2
1224,Celeste,Leonardo,20,2
1225,Colomba,Daniel,24,1
1226,Rocío,Mathias,24,1
1227,Ayla,José Miguel,24,3
1228,Elizabeth,Esteban,19,1
1229,Emilia,Enrique,25,4
1230,Pascal,Michael,24,4
1231,Nova,José,23,1
1232,Antonella,Lotario,24,3
1233,Ignacia,Matías,23,2
1234,Danae,Lucio,23,2
1235,Belén,José,20,2
1236,María,Suero,20,2
1237,Hazel,Moisés,23,2
1238,Dominique,Agustín,25,2
1239,Peyton,Agustín,24,3
1240,Gabriela,Kaique,21,3
1241,Montserrat,Luiz Antônio,21,2
1242,Alyssa,Facundo,24,2
1243,Mya,Obdulio,22,1
1244,Ivy,Kevin,20,2
1245,Mayte,Álvaro,22,2
1246,Emma,Dylan,21,2
1247,Colomba,Marcelo,20,2
1248,Emma,Luiz Miguel,21,3
1249,Anaís,Alexis,20,3
1250,Lauren,Jerónimo,19,2
1251,María,Aarón,20,2
1252,Violet,Jairo,19,3
1253,Antonia,Elias,24,2
1254,Aubrey,Levi,25,2
1255,Catalina,Jace,19,2
1256,Peyton,Antero,21,2
1257,Evelyn,José,24,2
1258,Abigail,Leopoldo,19,2
1259,Pía,John,21,2
1260,Leonor,Benjamin,22,2
1261,Elena,Miguel,22,3
1262,Audrey,Zayn,24,1
1263,Madelyn,Nathan,24,3
1264,Amparo,Damián,20,3
1265,Addison,Christian,23,2
1266,Noelia,Luan,25,4
1267,Harper,Alexander,21,2
1268,Hazel,Isaac,21,4
1269,Elisa,Renan,20,4
1270,Fernanda,Efraín,23,2
1271,Antonia,Facundo,22,2
1272,Sadie,Manuel,24,3
1273,Sofía,Pedro Arthur,23,3
1274,Callie,Afonso,25,3
1275,Eloísa,Vitor,22,4
1276,Florencia,Paulo Henrique,24,2
1277,Rayén,Aiden,24,4
1278,Amy,Paulo Henrique,24,3
1279,Anna,Charlie,22,1
1280,Maya,Pedro Augusto,21,3
1281,Emily,Fernando,21,2
1282,Amparo,Nicolás,21,2
1283,Keira,Amílcar,22,2
1284,Ellie,Wenceslao,23,2
1285,Consuelo,Liam,25,1
1286,Kaylee,Inigo,21,3
1287,Isidora,José,25,3
1288,Danae,Narciso,25,4
1289,Avery,Ezequiel,24,3
1290,Martina,Ezequiel,21,3
1291,Mariana,Abner,19,4
1292,Ophelia,Lucas,21,1
1293,Isabella,Sergio,20,1
1294,Elena,Joshua,25,1
1295,Paula,Jace,22,2
1296,Lía,Luiz Guilherme,23,2
1297,Ella,Nathan,23,4
1298,Pascal,Isaac,20,3
1299,Maite,Ryder,21,3
1300,Mayte,Lorenzo,22,1
1301,Belén,Oscar,21,4
1302,Arielle,Yago,22,2
1303,Nova,Renan,22,4
1304,Josefina,Evan,20,4
1305,Freya,Ricardo,25,3
1306,Elisa,Fulgencio,22,3
1307,Charlie,Leo,24,3
1308,Amelia,Nathan,20,3
1309,Jade,Juanfran,22,2
1310,Layla,Jairo,22,3
1311,Noelia,Eugenio,21,1
1312,Keira,Leonardo,23,4
1313,Leah,Gavin,24,3
1314,Avery,Cristóbal,20,3
1315,Rosalie,Heitor Gabriel,19,1
1316,Savannah,Josué,23,1
1317,Taylor,Anthony,25,4
1318,Zoey,Carter,24,3
1319,Piper,Maverick,25,3
1320,Pía,Josué,19,2
1321,Valentina,Cipriano,21,3
1322,Isidora,Gutierre,21,3
1323,Millaray,Fernando,21,4
1324,Abigail,Manuel,25,3
1325,Annabelle,Liam,25,1
1326,Beatrice,Vitor,22,1
1327,Amalia,Australia,22,3
1328,Ivy,Manuel,24,2
1329,Noemí,Aaron,23,2
1330,Arielle,João Paulo,24,1
1331,Allison,Everett,23,3
1332,Penelope,Davi Lucas,23,2
1333,Isla,Matheus,21,4
1334,Samantha,Maximiliano,23,2
1335,Sophia,Simón,23,4
1336,Pía,Luca,21,3
1337,Emily,Alexandre,21,3
1338,Natalie,Isaiah,23,2
1339,Carolina,Arturo,21,3
1340,Piper,Luiz Eduardo,24,3
1341,Renata,João Gabriel,20,1
1342,Julia,Cristóbal,20,3
1343,Chloe,Aiden,24,3
1344,Piper,Nicolas,19,3
1345,María,Riley,20,4
1346,Danae,Ricardo,23,2
1347,Amparo,India,22,2
1348,Rocío,Samuel,24,4
1349,Sofía,Luiz Felipe,22,4
1350,Mya,Gonzalo,24,2
1351,Dominga,José,24,2
1352,Alison,Tonin,21,1
1353,Carla,Dominic,21,3
1354,Sienna,Henrique,21,1
1355,Peyton,Fabricio,21,3
1356,Emily,Marcelo,24,3
1357,Layla,Sergio,25,2
1358,Consuelo,Melquíades,22,3
1359,Isidora,Josue,20,4
1360,Lyla,Fulgencio,21,2
1361,Magdalena,Osorio,21,2
1362,Savannah,Hugo,21,2
1363,Keira,Ricardo,24,1
1364,Penelope,Julián,22,3
1365,Carolina,Vinícius,22,2
1366,Valentina,Marcelino,19,2
1367,Amelia,Christian,21,2
1368,Scarlett,Jorge,20,3
1369,Sophie,Israel,21,4
1370,Penelope,Reinaldo,25,4
1371,Consuelo,Leandro,22,1
1372,Aylin,Osvaldo,19,4
1373,Mayra,Diego,21,1
1374,Amelia,José Miguel,19,3
1375,Colomba,Mateo,22,1
1376,Kaylee,Xavier,24,4
1377,Belén,Ronaldo,25,3
1378,Jade,Oliver,24,4
1379,Lillian,Marcelo,22,3
1380,Hazel,Cristóbal,25,2
1381,Eloísa,Dominic,21,4
1382,Rayén,Patricio,19,4
1383,Consuelo,Miguel,20,3
1384,Amparo,Luca,24,3
1385,Amanda,Jorge,24,1
1386,Daniela,Salvador,24,4
1387,Amanda,Pedro,22,2
1388,Madelyn,Sergio,20,4
1389,Isidora,Gabriel,20,3
1390,Angela,Paulo,20,3
1391,Laura,Eduardo,20,2
1392,Charlotte,Saulo,25,1
1393,Valentina,Lorenzo,22,3
1394,Ainhoa,José,20,2
1395,Paloma,José Lucas,24,3
1396,Alice,Pablo,25,4
1397,Allison,James,23,4
1398,Leah,Rosendo,22,3
1399,Mayte,Nolan,21,3
1400,Magdalena,Otávio,22,4
1401,Esperanza,Angel,21,1
1402,Isabella,Oliver,22,4
1403,Colomba,Cuauhtémoc,20,2
1404,Sophie,Elliot,20,4
1405,Samantha,Mateo,24,3
1406,Consuelo,Panfilo,22,2
1407,Samantha,Daniel,21,1
1408,Emily,Roberto,22,1
1409,Eva,Austin,23,1
1410,Paula,John,22,2
1411,Jade,Fernando,22,1
1412,Liliana,Pedro Lucca,23,2
1413,Jordyn,Callum,19,4
1414,Francisca,Alan,21,1
1415,Grace,Gabriel Henrique,21,4
1416,Emilia,Omar,22,2
1417,Olivia,Federico,21,3
1418,Mayte,Ravi,24,3
1419,Isabelle,Pablo,25,3
1420,Charlie,Jorge,22,4
1421,Mila,José,23,1
1422,Ellie,Juan,20,4
1423,Olivia,Ulises,20,3
1424,Paz,Benjamín,23,3
1425,Paloma,Samuel,20,2
1426,Valentina,Davi Henrique,20,2
1427,Ignacia,João Lucas,20,3
1428,Rosalie,Enzo Miguel,19,3
1429,Ashley,Arthur,21,2
1430,Aylin,Matthew,19,3
1431,Ellie,Tonin,21,2
1432,Pascal,Frederico,23,2
1433,Montserrat,José,23,2
1434,Brooklyn,Oswaldo,23,2
1435,Dominique,Isaias,25,2
1436,Colomba,Landon,23,2
1437,Sara,Matías,25,4
1438,Arielle,Otto,21,1
1439,Beatrice,Caio,21,2
1440,Violeta,Lorenzo Miguel,22,3
1441,Alice,Felipe,22,1
1442,Emilia,Kevin,23,4
1443,Callie,Isaiah,25,4
1444,Layla,Austin,24,1
1445,Lyla,Jorge,24,2
1446,Celeste,Afonso,22,3
1447,Aria,Cipriano,23,2
1448,Gabriela,Juan,21,2
1449,Alexa,Fausto,22,2
1450,Lillian,Ignacio,20,3
1451,Audrey,Juan,21,1
1452,Amanda,Gavin,20,3
1453,Hailey,Ramón,22,3
1454,Aurora,Matthew,20,2
1455,Trinidad,Julian,25,2
1456,Scarlett,Gonzalo,23,1
1457,Hazel,Benjamin,24,2
1458,Isidora,Dylan,23,1
1459,Annabelle,Rafael,21,2
1460,Kaylee,Daniel,21,4
1461,Noelia,Lucas,23,3
1462,Lucy,Roberto,23,2
1463,Quinn,José Miguel,23,3
1464,Alice,Alejandro,23,4
1465,Eva,Samuel,20,4
1466,Addison,Julián,20,1
1467,Emilia,Antero,24,1
1468,Belén,Nolan,20,1
1469,Zoey,Gabriel,22,3
1470,Olivia,Simón,24,1
1471,Daniela,Rael,22,3
1472,Sophie,Jusepe,23,4
1473,Rose,Luca,24,1
1474,Pía,Zayn,20,1
1475,Lily,Ethan,22,3
1476,Ophelia,Benício,20,3
1477,Francisca,Francisco,24,3
1478,Rosalie,Carlo,19,3
1479,Daniela,Augusto,21,1
1480,Stella,Henrique,22,2
1481,Pía,Grayson,20,4
1482,Catalina,Anthony Gabriel,19,4
1483,Carla,Sebastian,25,2
1484,Sophie,Lincoln,20,2
1485,Dominga,León,24,1
1486,Martina,Mathias,25,2
1487,Laura,José Augusto,22,2
1488,Martina,John,19,2
1489,Piper,Jorge,22,3
1490,Julia,Cipriano,20,2
1491,María,Alfonso,21,3
1492,Nora,João Miguel,24,4
1493,Matilda,Elias,20,2
1494,Antonella,Theo,22,2
1495,Mya,Gilberto,25,2
1496,Magdalena,Bruno,20,2
1497,Antonia,Ezequiel,22,4
1498,Charlie,Augusto,21,2
1499,Lillian,Nuño,24,3
1500,Lauren,Danilo,24,3
1501,Freya,Liam,25,4
1502,Grace,Berkan,21,3
1503,Emilia,Melvin,22,4
1504,Rachel,John,21,2
1505,Autumn,Yorik,24,2
1506,Sadie,Cole,21,3
1507,Victoria,Stanley,21,2
1508,Lauren,Ataberk,22,3
1509,Madelyn,Wade,24,2
1510,Sadie,Marcelo,23,3
1511,Charlotte,Raphael,21,4
1512,Annabelle,Valentin,24,4
1513,Sophie,Tony,22,2
1514,Maya,William,22,4
1515,Zoey,Ali,21,3
1516,Stella,Nuretti̇n,19,2
1517,Taylor,Evan,20,1
1518,Aurora,Gilles,19,4
1519,Layla,José Pedro,22,2
1520,Aria,Alexander,19,4
1521,Audrey,Nguyen,24,3
1522,Lucy,Binh,22,1
1523,Julia,Jonathan,21,1
1524,Evelyn,Samuel,19,1
1525,Sophie,Atalay,24,1
1526,Victoria,Nicolas,20,2
1527,Callie,Otto,24,3
1528,Jade,Vinícius,22,2
1529,Audrey,Santiago,24,1
1530,Allison,Matteo,21,3
1531,Mya,Harrison,20,4
1532,Mackenzie,Jonathan,19,4
1533,Ava,Antonin,20,3
1534,Clara,Edward,23,3
1535,Madelyn,Corentin,19,2
1536,Piper,Hoang,24,1
1537,Claire,Moisés,24,2
1538,Stella,Logan,24,3
1539,Zoey,Archer,23,2
1540,Violet,Dylan,23,1
1541,Leah,Oskar,22,3
1542,Anna,Alexander,23,2
1543,Elena,Sonny,23,3
1544,Amelia,Earl,21,3
1545,Scarlett,David,22,4
1546,Freya,Davi Henrique,24,4
1547,Annabelle,Reginald,22,2
1548,Lily,Alpay,21,4
1549,Ruby,Everett,20,3
1550,Chloe,Marion,20,3
1551,Evelyn,Matheus,24,3
1552,Ophelia,Benjamin,20,3
1553,Avery,Matthias,22,3
1554,Nova,Kevin,22,3
1555,Harper,Max,24,1
1556,Rosalie,Lincoln,19,2
1557,Autumn,Atabey,22,3
1558,Mackenzie,Abdullah,21,1
1559,Mia,Emanuel,21,3
1560,Aubrey,Owen,19,2
1561,Nora,Felix,23,2
1562,Jordyn,Levi,20,3
1563,Sienna,William,23,2
1564,Hailey,Ata,24,1
1565,Evelyn,Santiago,22,3
1566,Zoey,Julio,23,2
1567,Paisley,Furkan,22,2
1568,Rachel,Raul,22,2
1569,Jordyn,Thuan,21,4
1570,Savannah,Nathan,22,2
1571,Hailey,Justin,20,3
1572,Claire,Charles,21,2
1573,Brielle,Maverick,21,4
1574,Stella,Alphan,20,3
1575,Taylor,Bao,24,2
1576,Anna,Carlos Eduardo,20,4
1577,Elizabeth,Berkay,19,2
1578,Emilia,Jerome,20,2
1579,Zoey,Kayden,25,2
1580,Callie,Enzo Gabriel,22,4
1581,Stella,Jack,20,4
1582,Anna,Theodore,19,3
1583,Nova,Heitor Gabriel,21,2
1584,Harper,Paulo Henrique,22,4
1585,Maya,Jakob,22,2
1586,Madelyn,Micheal,20,3
1587,Claire,Ralph,24,3
1588,Quinn,Vinícius,25,2
1589,Alice,Jasper,21,4
1590,Olivia,Samuel,21,2
1591,Lily,Antônio,20,3
1592,Alice,Mathieu,25,2
1593,Elizabeth,Antonin,22,4
1594,Lillian,Arlo,19,3
1595,Piper,Elijas,21,3
1596,Chloe,Dong,21,4
1597,Clara,Arnold,21,2
1598,Eva,Darcy,24,2
1599,Alexa,Tran,24,1
1600,Emily,Jonas,19,2
1601,Alyssa,Charles,21,3
1602,Lauren,James,22,2
1603,Natalie,Levi,24,2
1604,Lillian,José Lucas,22,2
1605,Sienna,Benjamin,22,2
1606,Madison,James,20,3
1607,Arielle,Julian,22,2
1608,Eva,Thang,25,3
1609,Charlie,Bernardo Henrique,23,3
1610,Autumn,Jackson,24,2
1611,Hazel,Cooper,20,2
1612,Isabelle,John,25,3
1613,Eva,Everett,22,3
1614,Clara,Theo,22,1
1615,Madelyn,Lincoln,20,2
1616,Taylor,Leandro,25,1
1617,Riley,Samuel,25,3
1618,Jade,Lloyd,25,2
1619,Rose,Ata,24,3
1620,Alyssa,Jakob,23,2
1621,Audrey,Maverick,24,2
1622,Mackenzie,Hrishikesh,25,3
1623,Ellie,João Paulo,20,1
1624,Georgia,Connor,21,2
1625,Aurora,Hasan,22,2
1626,Ivy,Christopher,21,2
1627,Julia,Felix,22,2
1628,Avery,Ken,21,3
1629,Lucy,Rowan,20,3
1630,Evelyn,Mehmet,22,3
1631,Nora,Gabriel Henrique,23,1
1632,Lillian,Samuel Henrique,24,3
1633,Mackenzie,Hugo,24,4
1634,Rose,Alvin,25,3
1635,Penelope,Alp,21,3
1636,Alexa,Ryder,20,4
1637,Ellie,William,21,1
1638,Alexa,İsmai̇L,23,1
1639,Eva,Hakan,20,1
1640,Beatrice,Hakan,20,3
1641,Hailey,Carlos Eduardo,24,1
1642,Arielle,Kylian,21,2
1643,Addison,Jordan,21,3
1644,Arielle,Valentín,25,1
1645,Beatrice,Oliver,22,2
1646,Rose,Abdullah,24,3
1647,Claire,Milo,23,2
1648,Keira,Theo,21,2
1649,Avery,Alper,21,3
1650,Ella,Hudson,22,2
1651,Mya,Olivier,20,3
1652,Keira,Joshua,25,2
1653,Madelyn,Levi,24,1
1654,Olivia,Jay,23,3
1655,Maya,Lance,23,3
1656,Sienna,Ryan,21,2
1657,Mya,Raul,20,3
1658,Madison,Cemal,21,1
1659,Eleanor,Inácio,25,3
1660,Harper,Beau,24,3
1661,Avery,Ravi,21,3
1662,Isabelle,Matthew,23,2
1663,Lauren,Samuel,23,1
1664,Claire,James,22,3
1665,Lillian,Earl,22,4
1666,Julia,Benjamin,22,3
1667,Savannah,Florent,23,3
1668,Harper,Henri,19,4
1669,Eva,Erick,21,2
1670,Freya,Cooper,24,2
1671,Alyssa,Harry,20,3
1672,Aurora,Marcus,22,3
1673,Grace,Daniel,22,1
1674,Rose,Eli,22,2
1675,Nora,Elias,25,1
1676,Ophelia,Nicolàs,22,1
1677,Julia,Matthias,24,3
1678,Sadie,Lewin,21,3
1679,Chloe,Rıza,20,2
1680,Rose,José Arthur,21,2
1681,Callie,Dorian,22,2
1682,Maya,Yoshua,23,3
1683,Leah,Hrishikesh,24,2
1684,Isla,Adrian,23,3
1685,Anna,Jeffrey,21,2
1686,Maya,Louis,21,1
1687,Charlie,Valentin,22,3
1688,Alyssa,Germany,20,3
1689,Peyton,Cole,19,3
